epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1738,1.54183,3.28469,1.34191,0.04,1,0.09728,0.04642,1.29548,2.98519,1.19738,0.0001,0.0001,0.0001
2,32.9205,1.23106,2.07169,1.04534,1,0.81497,0.98811,0.61895,1.14437,2.29559,0.93688,0.000215644,0.000215644,0.000215644
3,50.3969,1.12355,1.05879,1.01061,0.97123,0.84392,0.98725,0.61643,1.20487,1.78555,0.94735,0.000326536,0.000326536,0.000326536
4,60.8513,1.10929,0.93615,1.01689,1,0.81679,0.99383,0.5695,1.1758,2.06561,0.99065,0.000432676,0.000432676,0.000432676
5,69.4887,1.09077,0.95222,0.99416,1,0.56855,0.99459,0.64147,1.04396,1.9476,0.93774,0.000534064,0.000534064,0.000534064
6,82.3495,1.01435,0.86286,0.97275,1,0.98042,0.995,0.68165,1.02408,1.62884,0.94028,0.0006307,0.0006307,0.0006307
7,96.09,1.02914,0.87159,1.00869,0.99427,0.96667,0.9945,0.68537,0.98606,1.11485,0.94934,0.000722584,0.000722584,0.000722584
8,108.433,0.99735,0.83451,0.999,0.90191,0.93333,0.96832,0.49702,1.26337,1.34145,1.05988,0.000809716,0.000809716,0.000809716
9,127.332,0.95291,0.81684,0.97398,0.97535,0.98902,0.99163,0.65856,1.01442,1.22857,0.95053,0.000892096,0.000892096,0.000892096
10,140.717,0.89733,0.74692,0.9609,0.98951,1,0.99442,0.69298,1.00559,0.89041,0.96989,0.000969724,0.000969724,0.000969724
11,155.965,0.91552,0.71522,0.96584,0.99913,1,0.995,0.74064,0.89934,0.77889,0.94544,0.0010426,0.0010426,0.0010426
12,169.346,0.89895,0.71881,0.95814,0.99906,1,0.995,0.73351,0.94531,0.75689,1.00587,0.00111072,0.00111072,0.00111072
13,189.782,0.96219,0.73656,0.99414,0.99922,1,0.995,0.72802,0.99475,0.77309,1.02777,0.0011741,0.0011741,0.0011741
14,206.184,0.9099,0.72425,0.97153,0.99824,1,0.995,0.74024,0.89623,0.79981,0.98096,0.00123272,0.00123272,0.00123272
15,220.137,0.90559,0.72322,0.98447,0.99872,1,0.995,0.69078,1.01779,0.73788,1.05236,0.00128658,0.00128658,0.00128658
16,234.711,0.89093,0.67998,0.95068,0.99043,1,0.995,0.75657,0.87562,0.68747,0.96795,0.0013357,0.0013357,0.0013357
17,248.07,0.84641,0.66555,0.94767,0.99171,0.99716,0.99483,0.73999,0.87093,0.708,0.96214,0.0013664,0.0013664,0.0013664
18,264.338,0.8672,0.64329,0.95813,0.99917,1,0.995,0.74189,0.82871,0.58026,0.94739,0.0013268,0.0013268,0.0013268
19,276.784,0.8355,0.61852,0.93799,0.99901,1,0.995,0.72843,0.91222,0.58212,0.98003,0.0012872,0.0012872,0.0012872
20,288.871,0.81283,0.58925,0.93359,0.99874,1,0.995,0.74647,0.88093,0.56985,0.9671,0.0012476,0.0012476,0.0012476
21,302.389,0.82665,0.60532,0.94251,0.99931,1,0.995,0.74164,0.86442,0.5542,0.96963,0.001208,0.001208,0.001208
22,313.914,0.86418,0.59795,0.95757,0.99944,1,0.995,0.70404,0.99485,0.54632,1.04686,0.0011684,0.0011684,0.0011684
23,327.461,0.81526,0.58318,0.93035,0.9993,1,0.995,0.76331,0.80404,0.50107,0.95119,0.0011288,0.0011288,0.0011288
24,342.867,0.79713,0.58747,0.93968,0.99917,1,0.995,0.70325,0.94111,0.51978,1.01361,0.0010892,0.0010892,0.0010892
25,359.316,0.80183,0.5831,0.93584,0.99919,1,0.995,0.74293,0.91502,0.50061,1.00129,0.0010496,0.0010496,0.0010496
26,372.454,0.79598,0.58638,0.93591,0.9992,1,0.995,0.80916,0.73524,0.44955,0.92302,0.00101,0.00101,0.00101
27,386.522,0.74153,0.54504,0.91949,0.99915,1,0.995,0.81528,0.70381,0.42987,0.91437,0.0009704,0.0009704,0.0009704
28,399.796,0.7568,0.53824,0.93613,0.99922,1,0.995,0.78519,0.77194,0.44167,0.9348,0.0009308,0.0009308,0.0009308
29,421.389,0.75261,0.53141,0.91735,0.99924,1,0.995,0.76447,0.80567,0.44075,0.94537,0.0008912,0.0008912,0.0008912
30,442.192,0.76864,0.5358,0.92627,0.99922,1,0.995,0.78736,0.78325,0.43772,0.92978,0.0008516,0.0008516,0.0008516
31,457.492,0.73382,0.50282,0.90824,0.99923,1,0.995,0.79507,0.75067,0.43238,0.92118,0.000812,0.000812,0.000812
32,476.334,0.71318,0.49595,0.90368,0.99923,1,0.995,0.80421,0.69214,0.40946,0.91659,0.0007724,0.0007724,0.0007724
33,491.353,0.75371,0.51357,0.919,0.99921,1,0.995,0.81316,0.68557,0.41365,0.91157,0.0007328,0.0007328,0.0007328
34,508.314,0.73961,0.5025,0.91373,0.99931,1,0.995,0.81315,0.70797,0.4215,0.92046,0.0006932,0.0006932,0.0006932
35,521.161,0.72473,0.50072,0.91706,0.99932,1,0.995,0.8155,0.6822,0.41194,0.91144,0.0006536,0.0006536,0.0006536
36,535.33,0.71584,0.49343,0.90509,0.99924,1,0.995,0.79232,0.76075,0.40663,0.9312,0.000614,0.000614,0.000614
37,545.702,0.75443,0.50164,0.92955,0.99919,1,0.995,0.81361,0.70978,0.40172,0.9172,0.0005744,0.0005744,0.0005744
38,554.222,0.72122,0.48751,0.90824,0.99915,1,0.995,0.81993,0.66721,0.39076,0.90425,0.0005348,0.0005348,0.0005348
39,563.502,0.74156,0.48425,0.91139,0.99919,1,0.995,0.79651,0.72893,0.39842,0.91843,0.0004952,0.0004952,0.0004952
40,572.284,0.73359,0.47944,0.91525,0.99904,1,0.995,0.82035,0.69633,0.3928,0.90537,0.0004556,0.0004556,0.0004556
41,630.508,0.6398,0.46034,0.8882,0.99901,1,0.995,0.82224,0.67937,0.38374,0.90096,0.000416,0.000416,0.000416
42,637.567,0.6232,0.44697,0.88191,0.99892,1,0.995,0.82485,0.68277,0.38531,0.9069,0.0003764,0.0003764,0.0003764
43,644.611,0.63857,0.44425,0.89085,0.99886,1,0.995,0.81734,0.69383,0.38744,0.90789,0.0003368,0.0003368,0.0003368
44,651.671,0.63218,0.44874,0.89824,0.99903,1,0.995,0.83274,0.64797,0.37614,0.8955,0.0002972,0.0002972,0.0002972
45,658.653,0.61083,0.44227,0.88894,0.99905,1,0.995,0.82191,0.67285,0.37592,0.90386,0.0002576,0.0002576,0.0002576
46,665.778,0.6208,0.43682,0.88721,0.99913,1,0.995,0.82822,0.6471,0.36374,0.89469,0.000218,0.000218,0.000218
47,672.805,0.60475,0.42255,0.87859,0.99916,1,0.995,0.8211,0.65194,0.36451,0.8948,0.0001784,0.0001784,0.0001784
48,679.864,0.6147,0.43206,0.88356,0.99915,1,0.995,0.81585,0.68497,0.36463,0.90378,0.0001388,0.0001388,0.0001388
49,686.889,0.59257,0.42036,0.86798,0.99916,1,0.995,0.82088,0.67224,0.3587,0.9009,9.92e-05,9.92e-05,9.92e-05
50,690.414,0.58739,0.40963,0.87136,0.99918,1,0.995,0.83152,0.63565,0.35228,0.89241,5.96e-05,5.96e-05,5.96e-05
